DATE,TIME,ADDRESS,MUNICIPALITY,CRIME
5/9/2018,0:47,Plainfield Av && West 4th St,PLAINFIELD,POSSESSION OF MARIJUANA
5/9/2018,1:06,732 St Marys Av,PLAINFIELD,DRIVING WHILE INTOXICATED /ALCOHOL/DRUGS
5/9/2018,10:01,950 Park Av,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/9/2018,10:21,600 Cleveland Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,10:32,169 East Front St,PLAINFIELD,LRCNY BTWN $50 & $200 - SHOPLIFTING
5/9/2018,11:48,95 Rock Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,12:11,100 Waynewood Prk,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,12:40,200 Grant Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,13:26,200 Grant Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,14:22,400 East Front St,PLAINFIELD,CRIMINAL MISCHIEF
5/9/2018,14:33,201 Watchung Av,PLAINFIELD,FRAUD
5/9/2018,15:50,820 Grant Av,PLAINFIELD,LARCENY OVER $200 - OTHER
5/9/2018,16:02,Nj/south Plainfield,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,19:08,200 West 4th St,PLAINFIELD,LRCNY BTWN $50 & $200 - BICYCLES
5/9/2018,19:53,1143 Stilford Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/9/2018,21:09,300 New St,PLAINFIELD,POSSESSION OF MARIJUANA
5/9/2018,22:20,727 East Front St,PLAINFIELD,CRIMINAL MISCHIEF
5/9/2018,22:28,744 Watchung Av,PLAINFIELD,SIMPLE ASSAULT
5/10/2018,0:42,437 West 6th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,1:42,Plainfield Av && West 4th St,PLAINFIELD,ROBBERY - STRONG ARM - MISCELLANEOUS
5/10/2018,4:04,234 West Front St,PLAINFIELD,ROBBERY - STRONG ARM - HIGHWAY
5/10/2018,8:43,512 New St,PLAINFIELD,CRIMINAL MISCHIEF
5/10/2018,9:08,600 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,10:21,205 Liberty St,PLAINFIELD,POSSESSION OF MARIJUANA
5/10/2018,10:58,109-111 East 9th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,13:14,400 Watchung Av,PLAINFIELD,LARCENY OVER $200 - OTHER
5/10/2018,13:43,Dunellen Police,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,14:01,700 East 2nd St,PLAINFIELD,POSSESSION OF MARIJUANA
5/10/2018,15:26,617 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,16:05,600 Park Av,PLAINFIELD,LRCNY BTWN $50 & $200 - SHOPLIFTING
5/10/2018,16:19,1363 Milton Pl,PLAINFIELD,LARCENY OVER $200 - BICYCLE
5/10/2018,19:21,100 New St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,20:01,683 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,20:47,Liberty St && West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/10/2018,21:55,1354 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/11/2018,3:33,306 Halsey St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/11/2018,5:05,1046 Hillside Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/11/2018,5:52,39 Albert St,PLAINFIELD,ARSON
5/11/2018,9:50,142 Sumner Av,PLAINFIELD,CRIMINAL MISCHIEF
5/11/2018,11:17,14 Clinton Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/11/2018,12:46,934 Cushing Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/11/2018,14:36,142 Sumner Av,PLAINFIELD,CRIMINAL MISCHIEF
5/11/2018,15:59,909 West 3rd St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM BUILDINGS
5/11/2018,16:00,565 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/12/2018,0:38,501 Park Av,PLAINFIELD,STOLEN AUTOMOBILE
5/12/2018,2:43,252 Johnston Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/12/2018,4:40,Morris St && West 3rd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/12/2018,9:46,1035 Myrtle Av,PLAINFIELD,SIMPLE ASSAULT
5/12/2018,11:53,905 Prospect Av,PLAINFIELD,CRIMINAL MISCHIEF
5/12/2018,12:12,200 East Front St,PLAINFIELD,POSSESSION OF SYNTHETIC NARCOTIC
5/12/2018,12:28,520 Woodland Av,PLAINFIELD,FRAUD
5/12/2018,14:00,128 East 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/12/2018,14:02,Arlington Av && West 7th St,PLAINFIELD,SIMPLE ASSAULT
5/12/2018,14:26,200 East Front St,PLAINFIELD,DRIVING WHILE INTOXICATED /ALCOHOL/DRUGS
5/12/2018,15:37,925 Plainfield Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/12/2018,16:12,330 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/12/2018,19:39,911 West 7th St,PLAINFIELD,CRIMINAL MISCHIEF
5/12/2018,19:56,600 East Front St,PLAINFIELD,AGGRAVATED ASSAULT
5/12/2018,23:43,928 Beechwood Ct,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
5/13/2018,0:34,112 Madison Av,PLAINFIELD,SIMPLE ASSAULT
5/13/2018,0:35,316 Bergen St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
5/13/2018,2:11,108 Crescent Av,PLAINFIELD,AGGRAVATED ASSAULT
5/13/2018,4:03,717 Arlington Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/13/2018,5:59,511 New St,PLAINFIELD,CRIMINAL MISCHIEF
5/13/2018,14:05,721 Watchung Av,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - DAYTIME
5/13/2018,16:10,300 Central Av,PLAINFIELD,SIMPLE ASSAULT
5/13/2018,20:02,1108 West 3rd St,PLAINFIELD,SIMPLE ASSAULT
5/13/2018,21:53,610 Sterling St,PLAINFIELD,UNLAWFUL ENTRY - NONRESIDENCE - NIGHT
5/13/2018,22:09,1012 West 3rd St,PLAINFIELD,SIMPLE ASSAULT
5/14/2018,1:21,300 Plainfield Av,PLAINFIELD,POSSESSION OF DANGEROUS NON-NARCOTIC
5/14/2018,1:25,944 West 5th St,PLAINFIELD,SIMPLE ASSAULT
5/14/2018,2:24,1721 Myrtle Av,PLAINFIELD,FRAUD
5/14/2018,7:20,511 Field Av,PLAINFIELD,SIMPLE ASSAULT
5/14/2018,9:24,802 West Front St,PLAINFIELD,LARCENY UNDER $50 - OTHER
5/14/2018,15:38,1442 Coolidge St,PLAINFIELD,SIMPLE ASSAULT
5/14/2018,23:38,500 Park Av,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
5/15/2018,10:04,635 West Front St,PLAINFIELD,EMBEZZLEMENT
5/15/2018,10:11,721 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/15/2018,10:16,1295 Denmark Rd,PLAINFIELD,LARCENY UNDER $50 - OTHER
5/15/2018,10:52,635 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/15/2018,13:00,607 Grant Av,PLAINFIELD,FRAUD
5/15/2018,14:53,900 West 3rd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/15/2018,16:23,962 West 3rd St,PLAINFIELD,MISSING MINOR
5/15/2018,16:31,28 Sycamore Av,PLAINFIELD,SIMPLE ASSAULT
5/15/2018,17:11,1430 Sloane Blvd,PLAINFIELD,SIMPLE ASSAULT
5/15/2018,21:16,1305 South Av,PLAINFIELD,DISORDERLY CONDUCT
5/16/2018,1:05,300 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,1:22,300 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,3:03,111 East Front St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/16/2018,7:51,634 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,8:49,200 Watchung Av,PLAINFIELD,CRIMINAL MISCHIEF
5/16/2018,9:40,727 West 4th St,PLAINFIELD,UNLAWFUL ENTRY - RESIDENCE - DAY
5/16/2018,10:18,200 West 2nd St,PLAINFIELD,FRAUD
5/16/2018,11:20,1009 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,11:57,Orange,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,13:50,1272 Park Av,PLAINFIELD,FRAUD
5/16/2018,18:09,1164 West 7th St,PLAINFIELD,LRCNY BTWN $50 & $200 - OTHER
5/16/2018,18:39,200 West 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,18:47,1443 Coolidge St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,19:21,1501 South 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/16/2018,19:58,611 West 3rd St,PLAINFIELD,FRAUD
5/17/2018,1:25,205 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,2:47,313 Lyman Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,9:26,Grant Av && West 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,14:52,1400 East 2nd St,PLAINFIELD,POSSESSION OF MARIJUANA
5/17/2018,14:54,661 West 8th St,PLAINFIELD,DISORDERLY CONDUCT
5/17/2018,15:13,821 Webster Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,15:54,140 East 5th St,PLAINFIELD,CRIMINAL MISCHIEF
5/17/2018,16:16,,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,16:26,16 Ransome Pl,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - NIGHTTIME
5/17/2018,16:32,305 Plainfield Av,PLAINFIELD,CRIMINAL MISCHIEF
5/17/2018,17:26,737 Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/17/2018,18:05,510 Watchung Av,PLAINFIELD,CRIMINAL MISCHIEF
5/17/2018,21:04,523 West Front St,PLAINFIELD,ROBBERY - STRONG ARM - MISCELLANEOUS
5/17/2018,21:36,11 Raymond Av,PLAINFIELD,POSSESSION OF DANGEROUS NON-NARCOTIC
5/17/2018,22:07,1047 Rose St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/17/2018,22:23,1442 St Nicholas Blvd,PLAINFIELD,POSSESSION OF MARIJUANA
5/17/2018,23:56,730 Park Av,PLAINFIELD,DRIVING WHILE INTOXICATED /ALCOHOL/DRUGS
5/18/2018,1:24,208 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/18/2018,9:55,304 Watson Av,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - NIGHTTIME
5/18/2018,14:57,234 East 5th St,PLAINFIELD,WEAPONS CARRY POSSESSION USE FIREARM
5/18/2018,16:06,146 Leland Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/18/2018,17:24,112 East Front St,PLAINFIELD,FRAUD
5/18/2018,17:34,518 West 8th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/18/2018,20:10,216 Stebbins Pl,PLAINFIELD,SIMPLE ASSAULT
5/18/2018,23:51,1011 Sherman Av,PLAINFIELD,ROBBERY - FIREARM - HIGHWAY
5/19/2018,0:47,450 Orchard Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/19/2018,1:10,1009 Putnam Av,PLAINFIELD,ASSAULT - KNIFE OR CUTTING INSTRUMENT
5/19/2018,3:20,1139 West Front St,PLAINFIELD,AGGRAVATED ASSAULT
5/19/2018,9:21,1356 East 3rd St,PLAINFIELD,SIMPLE ASSAULT
5/19/2018,10:10,515 West 4th St,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/19/2018,21:31,37 Sandford Av,PLAINFIELD,ROBBERY - FIREARM - HIGHWAY
5/19/2018,23:21,100 East Front St,PLAINFIELD,LARCENY OVER $200 - OTHER
5/20/2018,0:03,1242 Lenox Av,PLAINFIELD,STOLEN AUTOMOBILE
5/20/2018,1:15,400 New St,PLAINFIELD,CRIMINAL MISCHIEF
5/20/2018,3:54,508 Central Av,PLAINFIELD,SIMPLE ASSAULT
5/20/2018,12:37,178 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/20/2018,14:23,400 East 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/20/2018,17:06,507 East 6th St,PLAINFIELD,AGGRAVATED ASSAULT
5/20/2018,17:30,700 South Av,PLAINFIELD,DRIVING WHILE INTOXICATED /ALCOHOL/DRUGS
5/20/2018,18:15,575 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/20/2018,19:29,West Front St && West End Av,PLAINFIELD,ASSAULT - KNIFE OR CUTTING INSTRUMENT
5/20/2018,20:33,1419 Myrtle Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/20/2018,22:18,311 West Front St,PLAINFIELD,CRIMINAL MISCHIEF
5/20/2018,23:41,1100 West 3rd St,PLAINFIELD,ROBBERY - DANG WEAPON - RESIDENCE
5/21/2018,0:15,215 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,1:22,52 Sandford Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,1:57,838 East 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,2:34,124 East 7th St,PLAINFIELD,POSSESSION OF MARIJUANA
5/21/2018,7:12,515 West 6th St,PLAINFIELD,CRIMINAL MISCHIEF
5/21/2018,8:19,1005 Ironbound Av,PLAINFIELD,CRIMINAL MISCHIEF
5/21/2018,8:26,820 Grant Av,PLAINFIELD,LARCENY OVER $200 - AUTO PARTS & ACCESS
5/21/2018,9:31,1360 Milton Pl,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM AUTOS
5/21/2018,11:45,614 Monroe Av,PLAINFIELD,UNLAWFUL ENTRY - RESIDENCE - UNKNOWN
5/21/2018,11:55,1117 Dorsey Pl,PLAINFIELD,SIMPLE ASSAULT
5/21/2018,12:23,Mccrea Pl && Wiley Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,12:26,1834 West Front St,PLAINFIELD,FRAUD
5/21/2018,12:46,East 2nd St && Watchung Av,PLAINFIELD,FRAUD
5/21/2018,13:53,300 West 4th St,PLAINFIELD,CRIMINAL MISCHIEF
5/21/2018,15:14,Court Pl && Roosevelt Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,17:09,815 Park Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,21:09,Grant Av && West 3rd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/21/2018,21:21,249 East Front St,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/21/2018,22:40,941 East Front St,PLAINFIELD,POSSESSION OF MARIJUANA
5/22/2018,0:21,Central Av && West Front St,PLAINFIELD,CRIMINAL MISCHIEF
5/22/2018,6:45,745 South 2nd St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/22/2018,8:25,101 New St,PLAINFIELD,SIMPLE ASSAULT
5/22/2018,8:31,676 Essex St,PLAINFIELD,SIMPLE ASSAULT
5/22/2018,13:10,500 West 5th St,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
5/22/2018,14:09,1117 West 4th St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/22/2018,14:40,950 Park Av,PLAINFIELD,LARCENY UNDER $50 - FROM BUILDINGS
5/22/2018,21:23,316 East 7th St,PLAINFIELD,SIMPLE ASSAULT
5/23/2018,0:34,631 South 2nd St,PLAINFIELD,MISSING MINOR
5/23/2018,9:53,927 West 6th St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/23/2018,11:10,1002 Putnam Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/23/2018,12:17,157 East Front St,PLAINFIELD,LRCNY BTWN $50 & $200 - SHOPLIFTING
5/23/2018,13:00,400 West 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/23/2018,14:12,1150 South Av,PLAINFIELD,FRAUD
5/23/2018,15:35,318 West 7th St,PLAINFIELD,SIMPLE ASSAULT
5/23/2018,18:14,123 East 4th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/23/2018,18:30,634 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/23/2018,20:47,306 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/23/2018,21:20,125 Liberty St,PLAINFIELD,ROBBERY - STRONG ARM - RESIDENCE
5/23/2018,21:37,310 Park Av,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/24/2018,10:32,1324 George St,PLAINFIELD,SIMPLE ASSAULT
5/24/2018,10:44,64 Mariners Ct,PLAINFIELD,FRAUD
5/24/2018,12:58,Liberty St && West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/24/2018,13:09,16 Ransome Pl,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/24/2018,13:48,973 West 5th St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM BUILDINGS
5/24/2018,15:58,711 Plainfield Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/24/2018,17:11,275 Seneca Pl,PLAINFIELD,FRAUD
5/24/2018,17:26,926 West 4th St,PLAINFIELD,LARCENY UNDER $50 - OTHER
5/24/2018,17:47,602 Central Av,PLAINFIELD,SIMPLE ASSAULT
5/24/2018,19:09,231 Grant Av,PLAINFIELD,CRIMINAL MISCHIEF
5/24/2018,19:36,226 Leland Av,PLAINFIELD,FRAUD
5/25/2018,0:35,Field Av && West 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/25/2018,0:42,436 Orchard Pl,PLAINFIELD,ROBBERY - KNIFE - RESIDENCE
5/25/2018,8:11,748 Stelle Av,PLAINFIELD,MISSING MINOR
5/25/2018,10:44,601 Clinton Av,PLAINFIELD,STOLEN AUTOMOBILE
5/25/2018,14:11,100 Madison Av,PLAINFIELD,STOLEN AUTOMOBILE
5/25/2018,14:51,142 Sumner Av,PLAINFIELD,SIMPLE ASSAULT
5/25/2018,16:22,187 Berkeley Ter,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
5/25/2018,16:41,808 West 7th St,PLAINFIELD,SIMPLE ASSAULT
5/25/2018,17:37,803 South Av,PLAINFIELD,STOLEN AUTOMOBILE
5/25/2018,18:17,187 Berkeley Ter,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/25/2018,18:59,202 West Front St,PLAINFIELD,LARCENY UNDER $50 - FROM BUILDINGS
5/25/2018,19:58,200 East Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/25/2018,20:59,Madison Av && West 2nd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/25/2018,21:00,111 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/25/2018,22:00,1412 St Nicholas Blvd,PLAINFIELD,POSSESSION OF MARIJUANA
5/25/2018,22:55,401 East 5th St,PLAINFIELD,CRIMINAL MISCHIEF
5/26/2018,0:26,571 West 3rd St,PLAINFIELD,AGGRAVATED ASSAULT
5/26/2018,2:17,234 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/26/2018,3:42,142 Central Av,PLAINFIELD,ASSAULT - OTHER DANGEROUS WEAPON
5/26/2018,6:45,671 West Front St,PLAINFIELD,MISSING ADULT
5/26/2018,9:17,668 Essex St,PLAINFIELD,MISSING MINOR
5/26/2018,16:57,Berckman St && East 6th St,PLAINFIELD,LARCENY OVER $200 - OTHER
5/26/2018,19:07,304 Watson Av,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - UNKNOWN
5/26/2018,22:01,Nj/greenbrook,OTHER,OFFENSES NOT COVERED BY OTHER CLASSES
5/26/2018,22:22,Rock Av,PLAINFIELD,SIMPLE ASSAULT
5/26/2018,23:04,416 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/27/2018,1:08,1206 South 2nd St,PLAINFIELD,SIMPLE ASSAULT
5/27/2018,9:17,1429 East 7th St,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/27/2018,10:43,33 Raymond Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/27/2018,11:40,422 West 6th St,PLAINFIELD,CRIMINAL MISCHIEF
5/27/2018,12:12,1211 Prospect Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/27/2018,15:42,730 Park Av,PLAINFIELD,SIMPLE ASSAULT
5/27/2018,21:07,510 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/27/2018,21:16,Central Av && West 7th St,PLAINFIELD,ROBBERY - STRONG ARM - RESIDENCE
5/27/2018,21:46,727 West 4th St,PLAINFIELD,CRIMINAL MISCHIEF
5/27/2018,22:19,510 East Front St,PLAINFIELD,SIMPLE ASSAULT
5/27/2018,23:52,Nj/south Plainfield,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/28/2018,1:23,648 South Av,PLAINFIELD,SIMPLE ASSAULT
5/28/2018,2:07,600 West Front St,PLAINFIELD,ROBBERY - STRONG ARM - HIGHWAY
5/28/2018,6:28,750 East Front St,PLAINFIELD,STOLEN AUTOMOBILE
5/28/2018,10:09,755 West Front St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/28/2018,13:31,430 West Front St,PLAINFIELD,LRCNY BTWN $50 & $200 - BICYCLES
5/28/2018,14:54,300 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/28/2018,15:23,212 West Front St,PLAINFIELD,LRCNY BTWN $50 & $200 - SHOPLIFTING
5/28/2018,15:45,1525 South 2nd St,PLAINFIELD,OTHER STOLEN MOTOR VEHICLE
5/28/2018,15:48,300 Liberty St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/28/2018,17:46,24 Sandford Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/28/2018,17:58,100 North Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/28/2018,21:12,719 South 2nd St,PLAINFIELD,CRIMINAL MISCHIEF
5/28/2018,23:22,450 West 7th St,PLAINFIELD,LARCENY OVER $200 - OTHER
5/29/2018,0:50,130 West Front St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/29/2018,2:22,Prescott Pl && South 2nd St,PLAINFIELD,DISORDERLY CONDUCT
5/29/2018,3:30,1217 West Front St,PLAINFIELD,SIMPLE ASSAULT
5/29/2018,6:02,515 Grant Av,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/29/2018,8:22,313 Franklin Pl,PLAINFIELD,STOLEN AUTOMOBILE
5/29/2018,8:45,601 West 7th St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/29/2018,10:34,683 West 4th St,PLAINFIELD,FRAUD
5/29/2018,12:49,755 West Front St,PLAINFIELD,FRAUD
5/29/2018,13:11,1601 West 3rd St,PLAINFIELD,UNLAWFUL ENTRY - RESIDENCE - UNKNOWN
5/29/2018,13:29,411 Arlington Av,PLAINFIELD,LARCENY OVER $200 - FROM BUILDINGS
5/29/2018,13:37,600 West 3rd St,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
5/29/2018,17:24,950 Park Av,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM BUILDINGS
5/29/2018,18:54,24 Sandford Av,PLAINFIELD,FRAUD
5/29/2018,19:05,Rushmore Av && West 3rd St,PLAINFIELD,POSSESSION OF MARIJUANA
5/29/2018,20:19,Rushmore Av && West 3rd St,PLAINFIELD,DISORDERLY CONDUCT
5/29/2018,21:04,1048 Arlington Av,PLAINFIELD,POSSESSION OF DANGEROUS NON-NARCOTIC
5/29/2018,21:30,300 East Front St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/30/2018,1:24,100 New St,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
5/30/2018,5:43,609 Madison Av,PLAINFIELD,SIMPLE ASSAULT
5/30/2018,9:19,300 Hillcrest Av,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - DAYTIME
5/30/2018,9:55,1012 Putnam Av,PLAINFIELD,FRAUD
5/30/2018,13:15,715 Park Av,PLAINFIELD,LRCNY BTWN $50 & $200 - OTHER
5/30/2018,14:50,707 Park Av,PLAINFIELD,FRAUD
5/30/2018,18:17,706 West 4th St,PLAINFIELD,LRCNY BTWN $50 & $200 - FROM BUILDINGS
5/30/2018,19:50,Myrtle Av && Rock Av,PLAINFIELD,SALE/MANUFACTURE OF OPIUM/COCAINE/DERIV
5/31/2018,5:47,128 Central Av,PLAINFIELD,ROBBERY - DANG WEAPON - HIGHWAY
5/31/2018,9:43,620 West 7th St,PLAINFIELD,FORCIBLE ENTRY - RESIDENCE - UNKNOWN
5/31/2018,13:36,1227 East Front St,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
5/31/2018,16:01,Alletta St && Plainfield Av,PLAINFIELD,POSSESSION OF OPIUM/COCAINE/HEROIN
5/31/2018,17:30,628 Terrill Rd,PLAINFIELD,SIMPLE ASSAULT
5/31/2018,20:05,133 Parkside Rd,PLAINFIELD,FRAUD
5/31/2018,20:57,600 Park Av,PLAINFIELD,LARCENY UNDER $50 - SHOPLIFTING
5/31/2018,23:14,119 East 6th St,PLAINFIELD,SIMPLE ASSAULT
6/1/2018,0:01,308 East 5th St,PLAINFIELD,CRIMINAL MISCHIEF
6/1/2018,0:11,600 West Front St,PLAINFIELD,ROBBERY - STRONG ARM - RESIDENCE
6/1/2018,5:57,213 Grant Av,PLAINFIELD,CRIMINAL MISCHIEF
6/1/2018,10:49,600 Park Av,PLAINFIELD,LARCENY OVER $200 - FROM AUTO/NOT PARTS
6/1/2018,15:42,950 Park Av,PLAINFIELD,SIMPLE ASSAULT
6/1/2018,16:25,700 St Marys Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
6/1/2018,16:26,700 St Marys Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
6/1/2018,16:42,700 Arlington Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
6/1/2018,17:59,812 Plainfield Av,PLAINFIELD,FRAUD
6/1/2018,18:10,324 Watson Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
6/1/2018,19:02,North Av && Watchung Av,PLAINFIELD,OFFENSES NOT COVERED BY OTHER CLASSES
